name	taxonomy_id	taxonomy_lvl	PM06-C1D01_num	PM06-C1D01_frac	PM06-C1D02_num	PM06-C1D02_frac	PM06-C1D15_num	PM06-C1D15_frac	PM06-C1D36_num	PM06-C1D36_frac	PM06-S1_num	PM06-S1_frac
Ereboglobus	2028344	G	35	0.00001	15	0.00000	14	0.00000	65	0.00001	0	0.00000
Opitutus	178440	G	4	0.00000	163	0.00003	20	0.00001	143	0.00003	0	0.00000
Nibricoccus	2576890	G	1	0.00000	24	0.00000	6	0.00000	13	0.00000	0	0.00000
Methylacidiphilum	511745	G	30	0.00001	593	0.00011	7	0.00000	6	0.00000	0	0.00000
Treponema	157	G	158	0.00006	206	0.00004	246	0.00007	355	0.00007	0	0.00000
Sediminispirochaeta	1911556	G	96	0.00004	96	0.00002	28	0.00001	111	0.00002	0	0.00000
Oceanispirochaeta	2035349	G	57	0.00002	13	0.00000	15	0.00000	33	0.00001	0	0.00000
Spirochaeta	146	G	20	0.00001	90	0.00002	38	0.00001	83	0.00002	0	0.00000
Sphaerochaeta	399320	G	12	0.00000	19	0.00000	33	0.00001	56	0.00001	0	0.00000
Salinispira	1616789	G	6	0.00000	20	0.00000	13	0.00000	14	0.00000	0	0.00000
Borrelia	138	G	43	0.00002	21	0.00000	27	0.00001	44	0.00001	0	0.00000
Borreliella	64895	G	23	0.00001	33	0.00001	13	0.00000	34	0.00001	0	0.00000
Brachyspira	29521	G	304	0.00012	49	0.00001	36	0.00001	64	0.00001	0	0.00000
Leptospira	171	G	200	0.00008	36	0.00001	62	0.00002	86	0.00002	1	0.00000
Fervidobacterium	2422	G	61	0.00002	12	0.00000	17	0.00000	24	0.00000	0	0.00000
Thermosipho	2420	G	22	0.00001	14	0.00000	18	0.00001	26	0.00001	0	0.00000
Thermotoga	2335	G	21	0.00001	7	0.00000	28	0.00001	41	0.00001	0	0.00000
Pseudothermotoga	1643951	G	1	0.00000	6	0.00000	4	0.00000	10	0.00000	0	0.00000
Petrotoga	28236	G	60	0.00002	2	0.00000	1	0.00000	3	0.00000	0	0.00000
Marinitoga	160798	G	11	0.00000	1	0.00000	3	0.00000	1	0.00000	0	0.00000
Defluviitoga	1511648	G	10	0.00000	17	0.00000	16	0.00000	8	0.00000	0	0.00000
Kosmotoga	651456	G	52	0.00002	3	0.00000	8	0.00000	24	0.00000	0	0.00000
Mesotoga	1184396	G	26	0.00001	25	0.00000	17	0.00000	69	0.00001	0	0.00000
Athalassotoga	1769718	G	8	0.00000	0	0.00000	2	0.00000	4	0.00000	0	0.00000
Caldimicrobium	444090	G	66	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thermodesulfobacterium	1740	G	53	0.00002	27	0.00001	11	0.00000	40	0.00001	0	0.00000
Thermodesulfatator	241192	G	23	0.00001	0	0.00000	4	0.00000	3	0.00000	0	0.00000
Thermosulfuriphilus	2033601	G	6	0.00000	12	0.00000	6	0.00000	33	0.00001	0	0.00000
Geovibrio	46200	G	78	0.00003	14	0.00000	6	0.00000	22	0.00000	0	0.00000
Denitrovibrio	117999	G	12	0.00000	3	0.00000	2	0.00000	2	0.00000	0	0.00000
Calditerrivibrio	545865	G	12	0.00000	3	0.00000	12	0.00000	11	0.00000	0	0.00000
Deferribacter	53572	G	10	0.00000	6	0.00000	6	0.00000	11	0.00000	0	0.00000
Flexistipes	2351	G	2	0.00000	0	0.00000	2	0.00000	6	0.00000	0	0.00000
Granulicella	940557	G	84	0.00003	48	0.00001	25	0.00001	87	0.00002	0	0.00000
Edaphobacter	388463	G	21	0.00001	39	0.00001	22	0.00001	33	0.00001	0	0.00000
Acidobacterium	33973	G	5	0.00000	32	0.00001	25	0.00001	66	0.00001	0	0.00000
Terriglobus	392733	G	1	0.00000	31	0.00001	31	0.00001	113	0.00002	2	0.00000
Acidisarcina	2608728	G	1	0.00000	12	0.00000	6	0.00000	26	0.00001	0	0.00000
Leptospirillum	179	G	90	0.00003	22	0.00000	14	0.00000	22	0.00000	4	0.00000
Nitrospira	1234	G	4	0.00000	41	0.00001	41	0.00001	85	0.00002	16	0.00000
Thermodesulfovibrio	28261	G	4	0.00000	53	0.00001	11	0.00000	9	0.00000	0	0.00000
Candidatus Saccharimonas	1331051	G	47	0.00002	5	0.00000	1	0.00000	8	0.00000	0	0.00000
Candidatus Babela	1551504	G	23	0.00001	0	0.00000	0	0.00000	1	0.00000	0	0.00000
Candidatus Bipolaricaulis	2250122	G	6	0.00000	13	0.00000	9	0.00000	19	0.00000	0	0.00000
Vampirococcus	1930592	G	3	0.00000	0	0.00000	2	0.00000	12	0.00000	0	0.00000
Cloacibacillus	508459	G	53	0.00002	8	0.00000	864	0.00024	113	0.00002	0	0.00000
Thermanaerovibrio	81461	G	6	0.00000	40	0.00001	17	0.00000	57	0.00001	0	0.00000
Aminomonas	81411	G	3	0.00000	30	0.00001	13	0.00000	34	0.00001	0	0.00000
Jonquetella	428711	G	66	0.00003	1	0.00000	7	0.00000	16	0.00000	0	0.00000
Endomicrobium	1408194	G	37	0.00001	6	0.00000	12	0.00000	48	0.00001	0	0.00000
Elusimicrobium	423604	G	12	0.00000	3	0.00000	10	0.00000	42	0.00001	1	0.00000
Hydrogenobaculum	168657	G	10	0.00000	1	0.00000	1	0.00000	3	0.00000	0	0.00000
Thermocrinis	75905	G	9	0.00000	3	0.00000	18	0.00001	10	0.00000	0	0.00000
Aquifex	2713	G	3	0.00000	21	0.00000	8	0.00000	18	0.00000	0	0.00000
Hydrogenobacter	939	G	2	0.00000	2	0.00000	6	0.00000	5	0.00000	0	0.00000
Thermosulfidibacter	412592	G	5	0.00000	1	0.00000	1	0.00000	4	0.00000	0	0.00000
Sulfurihydrogenibium	212790	G	4	0.00000	0	0.00000	7	0.00000	12	0.00000	1	0.00000
Desulfurobacterium	64159	G	4	0.00000	0	0.00000	27	0.00001	11	0.00000	1	0.00000
Thermovibrio	171868	G	4	0.00000	11	0.00000	8	0.00000	43	0.00001	0	0.00000
Dictyoglomus	13	G	32	0.00001	56	0.00001	19	0.00001	36	0.00001	0	0.00000
Caldisericum	693074	G	9	0.00000	0	0.00000	0	0.00000	3	0.00000	0	0.00000
Caldithrix	187144	G	10	0.00000	37	0.00001	20	0.00001	30	0.00001	0	0.00000
Naumovozyma	278028	G	88	0.00003	6	0.00000	15	0.00000	24	0.00000	0	0.00000
Tetrapisispora	113604	G	48	0.00002	10	0.00000	22	0.00001	43	0.00001	0	0.00000
Zygosaccharomyces	4953	G	45	0.00002	1	0.00000	10	0.00000	2	0.00000	0	0.00000
